image_index,seed,psnr,ssim,memory_gb
0,0,28.757915550849642,0.7037746728344344,2.203327178955078
0,1,24.83971478763692,0.46478319769422416,2.234774589538574
0,42,24.5225596180428,0.45347774048150385,2.234774589538574
0,123,24.875899896013507,0.47293258292885343,2.236239433288574
0,3407,23.971914067210815,0.4261411148962159,2.236239433288574
1,0,25.99670677472166,0.520403041925058,2.236239433288574
1,1,27.04622294401716,0.6554865219632773,2.236239433288574
1,42,27.278696214809166,0.5984854545525343,2.236239433288574
1,123,26.52555259628503,0.5507095557560173,2.236239433288574
1,3407,29.08973713517211,0.7036807214537397,2.2008752822875977
2,0,26.727253699287626,0.55679010048817,2.236239433288574
2,1,25.69624137517959,0.5094453475841774,2.236727714538574
2,42,25.545792870562266,0.503880814947258,2.235384941101074
2,123,28.385865029924172,0.6888241998008329,2.235384941101074
2,3407,27.11660782735939,0.581625713042973,2.203327178955078
3,0,25.051531752487605,0.5015423338261084,2.236239433288574
3,1,25.223068630305697,0.512810734104488,2.236239433288574
3,42,25.588618433181793,0.5299530754351898,2.236239433288574
3,123,24.397638885626666,0.473824261689448,2.236239433288574
3,3407,25.42508800081024,0.5241598900887104,2.236239433288574
4,0,28.457729792256803,0.6335977258847001,2.236239433288574
4,1,27.826497370850106,0.5986054355443301,2.236239433288574
4,42,26.42936584073997,0.5348188728534609,2.236239433288574
4,123,27.079090439602183,0.5574084382110772,2.236239433288574
4,3407,28.31601709944378,0.619256344215143,2.236239433288574
