image_index,seed,psnr,ssim,memory_gb
0,0,27.95677556995059,0.6249545770288074,2.2158188819885254
0,1,22.901201816134076,0.39912487898341587,2.2392072677612305
0,42,34.4376933383683,0.892658214442466,2.2390847206115723
0,123,33.87448550605625,0.8933895494607677,2.2455930709838867
0,3407,27.024778585737096,0.5761032098102016,2.218438148498535
1,0,29.689765007849218,0.705575714508025,2.248668670654297
1,1,34.93174488711481,0.9349386266336842,2.2377209663391113
1,42,34.663199778860786,0.9114729975573208,2.2401814460754395
1,123,34.76502181844683,0.9216459971787275,2.2422714233398438
1,3407,30.255387250476677,0.7282078727975676,2.2383975982666016
2,0,28.451214033357854,0.6400497866240329,2.215757369995117
2,1,34.382900406366886,0.9279304172636456,2.2381505966186523
2,42,35.08714921089563,0.9220760834354029,2.248669147491455
2,123,31.18273176499431,0.7748465818317707,2.237227439880371
2,3407,28.795884863260373,0.6641406479334918,2.243501663208008
3,0,32.23961814957066,0.9014133024696608,2.2488536834716797
3,1,26.698676506898252,0.6314696160093044,2.2380900382995605
3,42,28.761770607810753,0.7064153959617235,2.248668670654297
3,123,32.54422245345677,0.9021322790696492,2.2367353439331055
3,3407,28.627119020186274,0.6923340222888642,2.237536907196045
4,0,35.744623302447714,0.9351401821487663,2.239564895629883
4,1,32.40378134389346,0.8208244086168877,2.213305950164795
4,42,31.360302823293612,0.7584039173545744,2.2398109436035156
4,123,35.552262759152626,0.9357673349106738,2.238945484161377
4,3407,33.961245024983675,0.8566447940405515,2.242155075073242
