image_index,seed,psnr,ssim,memory_gb
0,0,30.054072674512913,0.7226436883588445,2.20302152633667
0,1,31.20465510441533,0.7964292937883187,2.234468936920166
0,42,30.616913104456724,0.7951532916920007,2.234468936920166
0,123,31.40004223244572,0.8046237038705248,2.235933780670166
0,3407,31.148096636769495,0.769100477801347,2.235933780670166
1,0,30.09286823507827,0.7533747655429893,2.235933780670166
1,1,31.735809454027894,0.813095182892725,2.235933780670166
1,42,32.719748316113254,0.8674963101588472,2.235933780670166
1,123,30.931547035271898,0.7902366940351544,2.235933780670166
1,3407,32.10363784407326,0.8287443057970574,2.235933780670166
2,0,29.040228928269087,0.72686200457279,2.235933780670166
2,1,31.726316332256573,0.8141273412882513,2.235933780670166
2,42,31.65323753080806,0.8305813161594564,2.235933780670166
2,123,30.790338318739913,0.7698802224544868,2.235933780670166
2,3407,32.222294330014726,0.8194298980553859,2.235933780670166
3,0,28.70991788584221,0.7004627541292762,2.2005696296691895
3,1,30.332913978494823,0.8311735341659287,2.235933780670166
3,42,30.25886031663601,0.8111245707102614,2.236422061920166
3,123,29.738557523884847,0.7610061020026966,2.235079288482666
3,3407,30.151523675245038,0.7879568032859477,2.235079288482666
4,0,30.22475686942602,0.7263343042376917,2.235079288482666
4,1,32.77376702986422,0.8343284119364075,2.235079288482666
4,42,32.60738908408639,0.8376628791243118,2.235079288482666
4,123,31.668765315003498,0.7861012025445687,2.235079288482666
4,3407,31.55270920531165,0.7967683420994851,2.235079288482666
