seed,psnr,ssim,memory_gb
0,14.359205676287154,0.3868471173150558,0.19423389434814453
1,13.739494084396851,0.3794077970966287,0.21161603927612305
42,15.443592515149863,0.42411402932155995,0.2287435531616211
123,14.635170813409871,0.41871972012339537,0.24574661254882812
3407,13.689305260038102,0.39794147219327186,0.26287412643432617
