iter,loss,psnr,z_norm
1,518905.34375,18.803091995155427,128.44732666015625
2,11398024.0,11.436083450939801,128.8478240966797
3,11259134.0,11.7019177455206,129.3859100341797
4,2199201.5,15.732846240737564,130.06170654296875
5,835451.3125,15.736820584141537,130.85430908203125
6,1170860.375,14.751311071273694,131.66270446777344
7,1822504.75,13.954251307871914,132.3888702392578
8,2410542.5,13.155416318109276,132.99925231933594
9,2585191.5,12.937620822310226,133.48764038085938
10,2424397.5,12.981331630601128,133.86959838867188
11,2138036.5,13.085025378047053,134.1754608154297
12,1819526.5,13.418529809094768,134.42796325683594
13,1598904.5,13.852601540510188,134.6403350830078
14,1518009.75,14.321405634675187,134.81797790527344
15,1561090.75,14.757110723435938,134.960693359375
16,1676167.625,15.048892813358917,135.0671844482422
17,1773644.25,15.179118938124338,135.13937377929688
18,1770365.0,15.183134677811989,135.18434143066406
19,1624194.375,15.127967036146845,135.2147979736328
20,1396799.375,15.066509265231197,135.24151611328125
21,1180446.25,15.011387358523663,135.2686767578125
22,1045208.9375,14.944463271829962,135.29185485839844
23,1003804.375,14.891736895732528,135.2976531982422
24,1018405.3125,14.897465431854426,135.2682647705078
25,1027446.75,14.986904201078325,135.18911743164062
26,975773.25,15.178069542437617,135.05580139160156
27,846558.25,15.483999402593563,134.87710571289062
28,675827.1875,15.890999507980814,134.67295837402344
29,531164.125,16.35106856678655,134.4672393798828
30,474828.9375,16.561339325903933,134.2790985107422
31,498588.28125,16.603367477415368,134.12799072265625
32,520055.03125,16.76240495411377,134.02407836914062
33,473504.78125,16.96218254378485,133.96681213378906
34,379902.3125,17.08592318970451,133.9284210205078
35,356209.75,16.87540755021938,133.84300231933594
36,329276.1875,17.0430363328314,133.70339965820312
37,265081.8125,17.663520542880086,133.54290771484375
38,215163.609375,18.364701196345802,133.37200927734375
39,206021.140625,18.384162730607954,133.197509765625
40,201463.890625,18.418250718389707,133.0264892578125
41,210111.09375,18.321804744228974,132.86090087890625
42,217065.203125,18.316660217340647,132.70481872558594
43,206543.078125,18.45820188796114,132.5666961669922
44,191943.515625,18.557170040667074,132.4419403076172
45,180976.265625,18.622390410737683,132.31809997558594
46,180047.40625,18.66780286960304,132.18296813964844
47,180191.59375,18.721841746737432,132.03167724609375
48,172620.703125,18.80574316544607,131.86924743652344
49,163805.171875,18.90601294061296,131.70736694335938
50,162654.53125,18.99592058664306,131.55709838867188
51,162880.421875,19.072523953417054,131.42202758789062
52,156130.34375,19.1404592950618,131.2958984375
53,150292.734375,19.189012261146207,131.16700744628906
54,150509.453125,19.227088251210397,131.02645874023438
55,148455.203125,19.28498583164129,130.8743133544922
56,142113.46875,19.37008805054097,130.71922302246094
57,139654.453125,19.461097858668577,130.56919860839844
58,138934.953125,19.50888034227931,130.4302978515625
59,134792.109375,19.534442060403954,130.30133056640625
60,131748.703125,19.55871159411515,130.1736602783203
61,130903.25,19.588815597030404,130.04180908203125
62,127679.1015625,19.62942685437161,129.90733337402344
63,126468.3046875,19.89808768783472,129.77052307128906
64,125282.1875,20.08370546280893,129.64271545410156
65,124272.28125,20.299764131719662,129.51559448242188
66,121730.40625,20.33611584237598,129.38706970214844
67,118264.3359375,20.266669120129713,129.25765991210938
68,115051.015625,20.09164654371566,129.12818908691406
69,112503.8359375,19.74507407255523,129.00767517089844
70,110581.859375,20.116999286972174,128.87828063964844
71,110081.1640625,19.926110583855884,128.75730895996094
72,109138.4765625,19.949201869409222,128.64845275878906
73,106598.265625,20.00154301307461,128.548583984375
74,103769.3671875,19.913729678084913,128.447021484375
75,103372.4140625,20.302389425920012,128.34046936035156
76,100127.0078125,20.442768957947976,128.2336883544922
77,99116.59375,20.541150804100138,128.1403045654297
78,92202.0703125,21.945010569213565,128.05950927734375
79,87994.8046875,22.526887634046936,127.97441864013672
80,87521.5234375,22.63859014304265,127.87689208984375
81,85026.9765625,22.74782486604434,127.76995849609375
82,82397.9609375,22.861245792022196,127.66362762451172
83,81552.4140625,22.950423865342408,127.56387329101562
