image_index,seed,psnr,ssim,memory_gb
0,0,29.452220073689116,0.8621559825011781,0.6665239334106445
0,1,16.809560417813515,0.57226518428928,0.7053871154785156
0,42,33.0321432950661,0.8933137733368135,0.7455320358276367
0,123,34.60283751162005,0.9105842392796536,0.7898221015930176
0,3407,26.548221821980313,0.8108825478251248,0.8287410736083984
1,0,21.483482392089357,0.5823748622920554,0.8676600456237793
1,1,32.358450137694,0.860463010170741,0.9070672988891602
1,42,33.26539659217762,0.8728436479879079,0.8486723899841309
1,123,34.45552875594497,0.9338241458015235,0.888817310333252
1,3407,33.981196975947526,0.9309974544959679,0.928962230682373
2,0,24.838764175038477,0.7874546287677877,0.9691071510314941
2,1,30.540319242572348,0.8962083682247673,1.0092520713806152
2,42,22.42281946741409,0.6320336419930273,1.0493969917297363
2,123,31.773215770785544,0.8560781406428394,1.0895419120788574
2,3407,32.58813347441663,0.8697749275581006,1.1296868324279785
3,0,29.41603285155945,0.8874130350046032,1.1698317527770996
3,1,23.578572025081538,0.7426834692782218,1.2087507247924805
3,42,24.744956837661686,0.6996226560741192,1.2470593452453613
3,123,29.256899630611315,0.8782442203925377,1.1037626266479492
3,3407,25.90351905898162,0.5463195983996253,1.1439075469970703
4,0,33.716592461708046,0.8843383993097481,1.1840524673461914
4,1,34.23292468246793,0.8801925434873361,1.2241973876953125
4,42,33.21214500794878,0.8723567057099595,1.2643423080444336
4,123,32.14354918610863,0.8691871573177918,1.3044872283935547
4,3407,31.937441268244132,0.880435495568528,1.3446321487426758
